Marca;Modelo;Versão;Ano;Estado;Cidade;Latitude;Longitude
HYUNDAI;CRETA;ACTION 1.6 16V AT6 AUT COM 4P;2021;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;CRETA;ACTION 1.6 16V AT6 AUT COM 4P;2022;GO;Goiânia;-16,6799;-49,255
HYUNDAI;CRETA;ATTITUDE 1.6 16V AT6 FLEX AUT COM 4P;2020;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;CRETA;ATTITUDE 1.6 16V MT6 FLEX MEC COM 4P;2018;GO;Senador Canedo;-16,7081;-49,0936
HYUNDAI;CRETA;LIMITED 1.0 12V T-GDI AT AUT COM 4P;2021;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;CRETA;PRESTIGE 2.0 16V AT6 FLEX AUT COM 4P;2019;GO;Goiânia;-16,6799;-49,255
HYUNDAI;CRETA;PRESTIGE 2.0 16V AT6 FLEX AUT COM 4P;2020;GO;Goiânia;-16,6799;-49,255
HYUNDAI;CRETA;PULSE 1.6 16V AT6 FLEX AUT COM 4P;2017;GO;Goiânia;-16,6799;-49,255
HYUNDAI;CRETA;PULSE 1.6 16V MT6 FLEX MEC COM 4P;2017;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;CRETA;PULSE 2.0 16V AT6 FLEX AUT COM 4P;2017;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;CRETA;PULSE 2.0 16V AT6 FLEX AUT COM 4P;2017;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;CRETA;SMART 1.6 16V AT6 FLEX AUT COM 4P;2021;GO;Goiânia;-16,6799;-49,255
HYUNDAI;CRETA;SMART 1.6 16V AT6 FLEX AUT COM 4P;2021;GO;Goiânia;-16,6799;-49,255
HYUNDAI;CRETA;ULTIMATE 2.0 16V AT AUT COM 4P;2022;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20;COMFORT 1.0 12V MEC BAS 4P;2019;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20;COMFORT 1.0 12V MEC COM 4P;2016;GO;Senador Canedo;-16,7081;-49,0936
HYUNDAI;HB20;COMFORT 1.0 12V MEC COM 4P;2017;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;HB20;COMFORT 1.0 12V MEC COM 4P;2018;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;HB20;COMFORT 1.0 12V MEC COM 4P;2018;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;HB20;COMFORT PLUS 1.0 12V FLEX MEC COM 4P;2018;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;HB20;EVOLUTION 1.0 12V MT5 MEC COM 4P;2022;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20;SENSE 1.0 12V MT5 MEC COM 4P;2021;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20;SENSE 1.0 12V MT5 MEC COM 4P;2021;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20;SENSE 1.0 12V MT5 MEC COM 4P;2021;GO;Hidrolândia;-16,9628;-49,2269
HYUNDAI;HB20;SENSE 1.0 MT5 MEC BAS 4P;2021;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;HB20;UNIQUE 1.0 12V FLEX MEC COM 4P;2019;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20;UNIQUE 1.0 12V FLEX MEC COM 4P;2019;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20;UNIQUE 1.0 12V FLEX MEC COM 4P;2019;GO;Senador Canedo;-16,7081;-49,0936
HYUNDAI;HB20;VISON 1.0 12V MT5 MEC COM 4P;2020;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20;VISON 1.0 12V MT5 MEC COM 4P;2022;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20 HATCH;COMFORT PLUS 1.6 16V(FLEX) MEC COM 4P;2016;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;HB20S;COMFORT PLUS 1.0 12V(FLEX) MT5 COM 4P;2017;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20S;COMFORT PLUS 1.0 12V(FLEX) MT5 COM 4P;2018;GO;Iporá;-16,4408;-51,1178
HYUNDAI;HB20S;COMFORT PLUS 1.0 12V(FLEX) MT5 COM 4P;2018;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20S;COMFORT PLUS 1.0 12V(FLEX) MT5 COM 4P;2019;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20S;COMFORT PLUS 1.0 12V(FLEX) MT5 COM 4P;2019;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20S;COMFORT PLUS 1.0 12V(FLEX) MT5 COM 4P;2019;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20S;COMFORT PLUS 1.0 12V(FLEX) MT5 COM 4P;2019;GO;Goiânia;-16,6799;-49,255
HYUNDAI;HB20S;COMFORT PLUS 1.6 16V AT6 AUT COM 4P;2017;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;HB20S;COMFORT PLUS 1.6 16V AT6 AUT COM 4P;2018;GO;Abadia de Goiás;-16,7575;-49,4419
HYUNDAI;HB20S;COMFORT PLUS(AUT.) 1.6 16V(FLEX) AUT COM 4P;2016;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;HB20S;EVOLUTION 1.0 12V MT5 MEC COM 4P;2020;GO;Aragarças;-15,8975;-52,2508
HYUNDAI;HB20S;STYLE 1.6 16V AT FLEX AUT COM 4P;2019;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;HB20S;UNIQUE 1.0 12V MEC BAS 4P;2019;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;HB20S;VISION 1.0 12V MT5 MEC COM 4P;2022;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;IX35;GL 2.0 16V AT AUT COM 4P;2017;GO;Bela vista de Goiás;-16,9719;-48,9528
HYUNDAI;IX35;GL 2.0 16V AT AUT COM 4P;2018;GO;Senador Canedo;-16,7081;-49,0936
HYUNDAI;IX35;GL 2.0 16V AT AUT COM 4P;2020;GO;Aparecida de Goiânia;-16,8198;-49,2275
JEEP;COMPASS;LONGITUDE 4X4 2.0 TB AT9 DIES AUT COM 4P;2019;GO;Jaraguá;-15,7528;-49,3344
JEEP;RENEGADE;LONGITUDE 1.8 16V AT6 FLEX AUT COM 4P;2021;GO;Aparecida de Goiânia;-16,8198;-49,2275
NISSAN;KICKS;(NAC) S 1.6 16V CVT FLEX AUT COM 4P;2020;GO;Goiânia;-16,6799;-49,255
NISSAN;KICKS;(NAC) SL 1.6 16V CVT FLEX AUT COM 4P;2021;GO;Senador Canedo;-16,7081;-49,0936
NISSAN;KICKS;S 1.6 16V MEC BAS 4P;2018;GO;Goiânia;-16,6799;-49,255
NISSAN;KICKS;SENSE 1.6 16V CVT FLEX AUT COM 4P;2022;GO;Goiânia;-16,6799;-49,255
NISSAN;KICKS;SV 1.6 16V MEC COM 4P;2017;GO;Goiânia;-16,6799;-49,255
NISSAN;MARCH;SV 1.0 12V FLEXSTART MEC COM 4P;2015;GO;Aparecida de Goiânia;-16,8198;-49,2275
PEUGEOT;2008;ALLURE 1.6 16V AT6 AUT BAS 4P;2019;GO;Piranhas;-16,4264;-51,8236
PEUGEOT;208;ACTIVE 1.2 12V(FLEX) MEC COM 4P;2018;GO;Aparecida de Goiânia;-16,8198;-49,2275
RENAULT;DUSTER;DYNAMIQUE 1.6 16V SCE FLEX MEC COM 4P;2019;GO;Goiânia;-16,6799;-49,255
RENAULT;DUSTER;EXPRESSION 1.6 16V SCE FLEX MEC COM 4P;2018;GO;Goiânia;-16,6799;-49,255
RENAULT;DUSTER OROCH;EXPRESS 1.6 16V SCE FLEX MEC COM 4P;2022;GO;Cezarina;-16,9719;-49,7758
RENAULT;KWID;ZEN 1.0 12V MEC COM 4P;2023;GO;Goiânia;-16,6799;-49,255
RENAULT;SANDERO;DYNAMIQUE(N.GERACAO) 1.6 8V(HI-POWER) MEC COM 4P;2016;GO;Goiânia;-16,6799;-49,255
RENAULT;SANDERO;INTENSE 1.6 16V SCE CVT AUT COM 4P;2020;GO;Goiânia;-16,6799;-49,255
RENAULT;SANDERO;STEPWAY 1.6 16V SCE FLEX MEC COM 4P;2020;GO;Aparecida de Goiânia;-16,8198;-49,2275
TOYOTA;ETIOS HATCH;CROSS 1.5 16V AT(FLEX) AUT COM 4P;2018;GO;Piracanjuba;-17,3036;-49,0169
TOYOTA;ETIOS HATCH;X 1.3 16V(FLEX) MEC COM 4P;2019;GO;Goiânia;-16,6799;-49,255
VOLKSWAGEN;GOL;1.0 12V FLEX MEC COM 4P;2021;GO;Goiânia;-16,6799;-49,255
VOLKSWAGEN;POLO HATCH;1.6 16V(TOTALFLEX) MEC COM 4P;2018;GO;Goianira;-16,4958;-49,4269
VOLKSWAGEN;T-CROSS;200 1.0 TSI AT6 FLEX AUT COM 4P;2021;GO;Aparecida de Goiânia;-16,8198;-49,2275
VOLKSWAGEN;UP!;CONNECT 170 1.0 TSI 12V FLEX MEC COM 4P;2019;GO;Goiânia;-16,6799;-49,255
VOLKSWAGEN;VIRTUS;1.6 16V(TOTALFLEX) MEC COM 4P;2019;GO;Goiânia;-16,6799;-49,255
VOLKSWAGEN;VIRTUS;200 1.0 12V(CONFORTLINE)(TOTALFLEX) AT6 MEC COMP 4P;2021;GO;Goiânia;-16,6799;-49,255
VOLKSWAGEN;VOYAGE;1.6 8V FLEX MEC COM 4P;2020;GO;Rio Verde;-17,7929;-50,9192
CHEVROLET;CRUZE;LT 1.4 TURBO(FLEX) MEC COM 4P;2018;GO;Aparecida de Goiânia;-16,8198;-49,2275
CHEVROLET;CRUZE;LT 1.4 TURBO(FLEX) MEC COM 4P;2020;GO;Goiânia;-16,6799;-49,255
CHEVROLET;EQUINOX;PREMIER 2.0 16V TB AT9 AUT COM 4P;2020;TO;Palmas;-10,2491;-48,3243
CHEVROLET;ONIX;ACTIV 1.4 8V AT6 ECO FLEX AUT COM 4P;2018;GO;Goiânia;-16,6799;-49,255
CHEVROLET;ONIX;JOY 1.0 8V MT MEC COM 4P;2020;GO;Senador Canedo;-16,7081;-49,0936
CHEVROLET;ONIX;JOY 1.0 8V MT6 ECO FLEX MEC COM 4P;2019;GO;Aparecida de Goiânia;-16,8198;-49,2275
CHEVROLET;ONIX;LT 1.0 12V MT6 MEC COM 4P;2019;GO;Trindade;-16,6487;-49,4889
CHEVROLET;ONIX;LT 1.0 12V MT6 MEC COM 4P;2019;GO;Goiânia;-16,6799;-49,255
CHEVROLET;ONIX;LT 1.0 12V MT6 MEC COM 4P;2022;GO;Goiânia;-16,6799;-49,255
CHEVROLET;ONIX;LT 1.0 8V MT6 ECO FLEX MEC COM 4P;2016;GO;Goiânia;-16,6799;-49,255
CHEVROLET;ONIX;LT 1.0 8V MT6 ECO FLEX MEC COM 4P;2017;GO;Senador Canedo;-16,7081;-49,0936
CHEVROLET;ONIX;LT 1.0 8V MT6 ECO FLEX MEC COM 4P;2019;GO;Goiânia;-16,6799;-49,255
CHEVROLET;ONIX;LT 1.4 8V AT6 ECO FLEX AUT COM 4P;2018;GO;Goiânia;-16,6799;-49,255
CHEVROLET;ONIX;LT 1.4 8V MT6 ECO FLEX MEC COM 4P;2017;GO;Goiânia;-16,6799;-49,255
CHEVROLET;ONIX;LTZ 1.0 TB 12V MT6 MEC COM 4P;2020;GO;Goiânia;-16,6799;-49,255
CHEVROLET;ONIX;PREMIER 1.0 TB 12V AT6 AUT COM 4P;2020;GO;Goiânia;-16,6799;-49,255
CHEVROLET;ONIX;PREMIER 1.0 TB 12V AT6 AUT COM 4P;2023;GO;Goiânia;-16,6799;-49,255
CHEVROLET;PRISMA;LT 1.4 8V MT6 ECO FLEX MEC COM 4P;2017;GO;Goiânia;-16,6799;-49,255
CHEVROLET;PRISMA;LTZ 1.4 8V AT6 ECO FLEX MEC COM 4P;2016;GO;Goiânia;-16,6799;-49,255
CHEVROLET;S-10;CD LT 4X2 2.5 16V AT6 FLEXPOWER AUT COM 4P;2020;GO;Abadia de Goiás;-16,7575;-49,4419
CHEVROLET;SPIN;LTZ 1.8 8V ECO AT6 AUT COM 4P;2023;GO;Goiânia;-16,6799;-49,255
CHEVROLET;TRACKER;LTZ 1.2 TURBO 12V AT6 AUT COM 4P;2021;GO;Trindade;-16,6487;-49,4889
CHEVROLET;TRACKER;LTZ 1.2 TURBO 12V AT6 AUT COM 4P;2021;GO;Goiânia;-16,6799;-49,255
CHEVROLET;TRACKER;LTZ 4X2 1.4 TURBO AT6 FLEX AUT COM 4P;2017;GO;Terezópolis de Goiás;-16,4833;-49,1
CHEVROLET;TRACKER;PREMIER 1.2 TURBO 12V AT6 AUT COM 4P;2022;GO;Rio Verde;-17,7929;-50,9192
CITROEN;AIRCROSS;FEEL 1.6 16V(AUT.)(FLEXSTART) AUT COM 4P;2016;GO;Goiânia;-16,6799;-49,255
CITROEN;AIRCROSS;LIVE 1.6 16V AT6 FLEXSTART AUT BAS 4P;2019;GO;Goiânia;-16,6799;-49,255
CITROEN;AIRCROSS;SHINE 1.6 16V(AUT.)(FLEXSTART) AUT COM 4P;2017;GO;Goiânia;-16,6799;-49,255
FIAT;ARGO;DRIVE 1.0 6V FIREFLY FLEX MEC COM 4P;2018;GO;Senador Canedo;-16,7081;-49,0936
FIAT;ARGO;DRIVE 1.0 6V FIREFLY FLEX MEC COM 4P;2018;GO;Trindade;-16,6487;-49,4889
FIAT;ARGO;DRIVE 1.0 6V FIREFLY FLEX MEC COM 4P;2019;GO;Nerópolis;-16,4069;-49,2189
FIAT;ARGO;DRIVE 1.0 6V FIREFLY FLEX MEC COM 4P;2020;GO;Goiânia;-16,6799;-49,255
FIAT;CRONOS;1.3 8V FIREFLY FLEX MEC COM 4P;2019;GO;Aparecida de Goiânia;-16,8198;-49,2275
FIAT;CRONOS;1.3 8V FIREFLY FLEX MEC COM 4P;2022;GO;Goiânia;-16,6799;-49,255
FIAT;CRONOS;DRIVE 1.3 8V FIREFLY FLEX MEC COM 4P;2019;GO;Goiânia;-16,6799;-49,255
FIAT;CRONOS;DRIVE 1.3 8V FIREFLY FLEX MEC COM 4P;2020;GO;Goiânia;-16,6799;-49,255
FIAT;CRONOS;PRECISION 1.8 16V AT6 FLEX AUT COM 4P;2019;GO;Anicuns;-16,4611;-49,9636
FIAT;GRAND SIENA;1.0 8V MEC COM 4P;2021;GO;Niquelândia;-14,4739;-48,4595
FIAT;GRAND SIENA;1.0 8V MEC COM 4P;2021;GO;Goiânia;-16,6799;-49,255
FIAT;GRAND SIENA;ATTRACTIVE 1.4 8V (FLEX) MEC COM 4P;2016;GO;Goiânia;-16,6799;-49,255
FIAT;MOBI;LIKE 1.0 8V(FLEX) MEC COM 4P;2018;GO;Pirenópolis;-15,8557;-48,9581
FIAT;MOBI;LIKE 1.0 8V(FLEX) MEC COM 4P;2022;GO;Goiânia;-16,6799;-49,255
FIAT;MOBI;LIKE 1.0 8V(FLEX) MEC COM 4P;2024;GO;Goiânia;-16,6799;-49,255
FIAT;MOBI;WAY 1.0 8V(FLEX) MEC COM 4P;2018;GO;Goiânia;-16,6799;-49,255
FIAT;STRADA CD;HARD WORKING 1.4 8V FLEX MEC COM 3P;2020;GO;Goiânia;-16,6799;-49,255
FIAT;TORO;ENDURANCE 1.8 16V MT5 MEC COM 4P;2021;GO;Goiânia;-16,6799;-49,255
FIAT;TORO;FREEDOM 1.8 AT6 16V(FLEX) AUT COM 4P;2020;GO;Goiânia;-16,6799;-49,255
FIAT;TORO;FREEDOM 2.4 16V AT9 FLEX 4p Eta./Gas.;2017;GO;Goiânia;-16,6799;-49,255
FIAT;TORO;RANCH 4X4 2.0 16V AT9 AUT COM 4P;2020;GO;Goiânia;-16,6799;-49,255
FIAT;TORO;VOLCANO 2.0 16V 4X4 AT9 AUT COM 4P;2019;GO;Senador Canedo;-16,7081;-49,0936
FORD;FUSION;SEL FWD 2.0 16V GTDI AT AUT BAS 4P;2017;GO;Aragarças;-15,8975;-52,2508
FORD;KA;SE 1.0 12V FLEX MEC COM 4P;2020;GO;Aparecida de Goiânia;-16,8198;-49,2275
FORD;KA;SE 1.0 12V MEC COM 4P;2017;GO;Senador Canedo;-16,7081;-49,0936
FORD;KA;SE 1.0 12V MEC COM 4P;2017;GO;Aparecida de Goiânia;-16,8198;-49,2275
FORD;KA;SE 1.0 12V MEC COM 4P;2017;GO;Rubiataba;-15,1647;-49,8039
FORD;KA;SE 1.0 12V MEC COM 4P;2018;GO;Goiânia;-16,6799;-49,255
FORD;KA;SE 1.0 12V MEC COM 4P;2018;GO;Senador Canedo;-16,7081;-49,0936
FORD;KA;SE 1.0 12V MEC COM 4P;2019;GO;Senador Canedo;-16,7081;-49,0936
FORD;KA;SE 1.0 12V MEC COM 4P;2019;GO;Aparecida de Goiânia;-16,8198;-49,2275
FORD;KA;SE 1.5 12V MEC COM 4P;2020;GO;Anicuns;-16,4611;-49,9636
FORD;KA;SE 1.5 16V AT FLEX MEC COM 4P;2019;GO;Goiânia;-16,6799;-49,255
FORD;KA;SE PLUS 1.0 12V MEC COM 4P;2017;GO;Aparecida de Goiânia;-16,8198;-49,2275
FORD;KA;SE PLUS 1.0 12V MEC COM 4P;2020;GO;Goiânia;-16,6799;-49,255
FORD;KA;SE PLUS 1.0 12V MEC COM 4P;2020;GO;Aparecida de Goiânia;-16,8198;-49,2275
FORD;KA;SE PLUS 1.0 12V MEC COM 4P;2020;GO;Goiânia;-16,6799;-49,255
FORD;KA;SEL 1.0 12V MEC COM 4P;2018;GO;Goiânia;-16,6799;-49,255
FORD;KA+;SEL 1.5 16V(FLEX) MEC COM 4P;2016;GO;Aparecida de Goiânia;-16,8198;-49,2275
FORD;NEW ECOSPORT;FREESTYLE 1.6 16V (FLEX) MEC COM 4P;2017;GO;Goiânia;-16,6799;-49,255
FORD;NEW ECOSPORT;SE 1.5 12V AT6 FLEX AUT COM 4P;2018;GO;Goiânia;-16,6799;-49,255
FORD;NEW ECOSPORT;SE 1.5 16V FLEX MEC COM 4P;2018;GO;Anápolis;-16,3287;-48,9534
FORD;NEW ECOSPORT;STORM 4WD 2.0 16V AT6 FLEX AUT COM 4P;2020;GO;Nerópolis;-16,4069;-49,2189
FORD;NEW ECOSPORT;TITANIUM 2.0 16V AT6 FLEX AUT COM 4P;2019;GO;Goiânia;-16,6799;-49,255
FORD;NEW FIESTA HATCH;SE 1.6 16V(FLEX)(NAC.) MEC COM 4P;2017;GO;Goiânia;-16,6799;-49,255
HONDA;CITY SEDAN;(N.GERACAO) EX-CVT 1.5 16V(FLEX) AUT COM 4P;2018;GO;Serranópolis;-18,3058;-51,9589
HONDA;CITY SEDAN;(N.GERACAO) EXL-CVT 1.5 16V(FLEX) AUT COM 4P;2019;GO;Goiânia;-16,6799;-49,255
HONDA;CITY SEDAN;(N.GERACAO) EXL-CVT 1.5 16V(FLEX) AUT COM 4P;2020;GO;Goiânia;-16,6799;-49,255
HONDA;CITY SEDAN;(N.GERACAO) LX-CVT 1.5 16V(FLEX) AUT COM 4P;2017;GO;Aparecida de Goiânia;-16,8198;-49,2275
HONDA;CIVIC;G10 EX 2.0 16V CVT FLEX AUT BAS 4;2020;GO;Aparecida de Goiânia;-16,8198;-49,2275
HONDA;CIVIC(N.GERACAO);LXR-AT 2.0 16V(FLEX) AUT COM 4P;2016;GO;Goiânia;-16,6799;-49,255
HONDA;HR-V;EXL-CVT 4X2 1.8 16V AUT COM 4P;2020;GO;Aparecida de Goiânia;-16,8198;-49,2275
HONDA;HR-V;LX-CVT 4X2 1.8 16V AUT COM 4P;2019;GO;Goiânia;-16,6799;-49,255
HONDA;HR-V;LX-CVT 4X2 1.8 16V AUT COM 4P;2019;GO;Goiânia;-16,6799;-49,255
HONDA;NEW FIT;(N.GERACAO) EX-CVT 1.5 16V(FLEXONE) AUT COM 4P;2017;GO;Goiânia;-16,6799;-49,255
HONDA;NEW FIT;(N.GERACAO) EXL-CVT 1.5 16V(FLEXONE) AUT COM 4P;2015;GO;Senador Canedo;-16,7081;-49,0936
HONDA;NEW FIT;(N.GERACAO) LX-CVT 1.5 16V(FLEXONE) AUT COM 4P;2015;GO;Goiânia;-16,6799;-49,255
HONDA;WR-V;EXL 1.5 16V CVT FLEXONE;2018;SP;Indaiatuba;-23,0903;-47,2119
HYUNDAI;CRETA;ACTION 1.6 16V AT6 AUT COM 4P;2021;GO;Minaçu;-13,5308;-48,2206
HYUNDAI;CRETA;ACTION 1.6 16V AT6 AUT COM 4P;2021;GO;Senador Canedo;-16,7081;-49,0936
HYUNDAI;CRETA;ACTION 1.6 16V AT6 AUT COM 4P;2021;GO;Goiânia;-16,6799;-49,255
HYUNDAI;CRETA;ATTITUDE 1.6 16V AT6 FLEX AUT COM 4P;2019;GO;Aparecida de Goiânia;-16,8198;-49,2275
HYUNDAI;CRETA;ATTITUDE 1.6 16V AT6 FLEX AUT COM 4P;2019;GO;Goiânia;-16,6799;-49,255
HYUNDAI;CRETA;ATTITUDE 1.6 16V AT6 FLEX AUT COM 4P;2020;GO;Goiânia;-16,6799;-49,255
HYUNDAI;CRETA;ATTITUDE 1.6 16V AT6 FLEX AUT COM 4P;2021;GO;Caldazinha;-16,7128;-49,0019
